idx_agent, opinion
    0,       0.49542924206851224
    1,        0.4954308573963771
    2,        0.4954336372502829
    3,        0.4954314710083162
    4,         0.495431404294156
    5,        0.4954326341025732
    6,       0.49543466087996046
    7,       0.49542943585083526
    8,        0.4954349475485392
    9,        0.4954279453934126
   10,       0.49543013673449865
   11,        0.4954324848054787
   12,       0.49543254864430775
   13,        0.4954302205603191
   14,        0.4954309746148645
   15,        0.4954316392753547
   16,       0.49543386456484834
   17,        0.4954343710370527
   18,       0.49543275043176566
   19,        0.4954352142957563
